Syllabus,Question,Year,Marks
modern history,What was the difference between Mahatma Gandhi and Rabindranath Tagore in their approach towards education and nationalism?,2023,10
modern history,How did the colonial rule affect the tribals in India and what was the tribal response to the colonial oppression?,2023,15
modern history,What were the events that led to the Quit India Movement? Point out its results.,2024,10
modern history,How far was the Industial Revolution in England responsible for the decline of hadicrafts and cottage industries in India?,2024,15
modern history,Mahatma Jotirao Phule's writings and efforts of social reforms touched issues of almost all subaltern classes. Discuss.,2025,15
modern history,Discuss the impact of Macaulay's Minute on colonial administration and education in India.,2026,10
modern history,The significance of the Gandhian movements lay in the masses they mobilized. Elucidate,2026,10
post independence,Critically discuss the objectives of Bhoodan and Gramdan movements initiated by Acharya Vinoba Bhave and their success.,2013,10
post independence,"Write a critical note on the evolution and significance of the slogan ""Jai Jawana Jai Kisan"".",2013,10
post independence,Discuss the contribution of Maulana Abul Kalam Azad to pre-and post-independent India.,2013,10
post independence,Analyze the circumstances that led to Tashkent Agreement in 1966. Discuss the highlights of the agreement.,2013,10
post independence,Critically examine the compulsions which prompted India to play a decisive roles in the emergence of Bangladesh.,2013,10
post independence,Assess the main administrative issues and socio-cultural problems in the integration process of Indian Princely States. ,2021,10
post independence,The political and administrative reorganization of states and territories has been a continuous ongoing process since the mid-nineteenth century. Discuss with examples. ,2022,15
post independence,"Trace India's consolidation process during early phase of independence in terms of polity, economy, education and international relations.",2025,15
post independence,Linguistic reorganization of Indian States was driven by popular pressure from below. Comment.,2026,15
post independence,The model of planned economy was adopted in India to address the regional imbalances left behind by colonial rule. Comment.,2026,15
world history,"""Latecomer"" Industrial revolution in Japan involved certain factors that were markedly different from what west had experience.",2013,10
world history,Africa was chopped into states artificially created by accident of European competition. Analyse.,2013,10
world history,American Revolution was an economic revolt against mercantilism. Substantiate.,2013,10
world history,What policy instruments were deployed to contain the great economic depression?,2013,10
world history,"What were the major political, economic and social developments in the world which motivated the anti-colonial struggle in India?",2014,10
world history,What were the events that led to the Suez Crisis in 1956? How did it deal a final blow to Britain's self-image as a world power?,2014,10
world history,The New Economic Policy - 1921 of Lenin had influenced the policies adopted by India soon after independence. Evaluate.,2014,10
world history,Why did the industrial revolution first occur in England? Discuss the quality of life of the people there during the industrialization. How does it compare with that in India at present?,2015,12.5
world history,To what extent can Germany be held responsible for causing the two World Wars? Discuss critically,2015,12.5
world history,The anti-colonial struggles in West Africa were led by the new elite of Western-educated Africans. Examine.,2016,12.5
world history,What problems were germane to the decolonization process of Malay Peninsula.,2017,10
world history,Why indentured labour was taken by the British from India to other colonies? Have they been able to preserve their cultural identity over there?,2018,15
world history,Explain how the foundations of the modern world were laid by the American and French revolution. ,2019,15
world history,“There arose a serious challenge to the Democratic State System between the two World Wars.” Evaluate the statement. ,2021,15
world history,Bring out the socio-economic effects of the introduction of railways in different countries of the world,2023,10
world history,How far is it correct to say that the First World War was fought essentially for the preservation of balance of power?,2024,15
world history,The French Revolution has enduring relevance to the contemporary world. Explain.,2025,15
Ecomonic and Human Geography,"With growing scarcity of fossil fuels, the atomic energy is gaining more and more significance in India. Discuss the availability of raw material required for the generation of atomic energy in India and in the world.",2013,10
Ecomonic and Human Geography,"It is said the India has substantial reserves of shale oil and gas, which can feed the needs of country for quarter century. However, tapping of the resources doesn't appear to be high on the agenda. Discuss critically the availability and issues involved.",2013,10
Ecomonic and Human Geography,Critically evaluate the various resources of the oceans which can be harnessed to meet the resource crisis in the world.,2014,10
Ecomonic and Human Geography,How does India see its place in the economic space of rising natural resource rich Africa?,2014,10
Ecomonic and Human Geography,India is well endowed with fresh water resources. Critically examine why it still suffers from water scarcity.,2015,12.5
Ecomonic and Human Geography,What are the economic significances of discovery of oil in Arctic Sea and its possible environmental consequences?,2015,12.5
Ecomonic and Human Geography,The effective management of land and water resources will drastically reduce the human miseries. Explain,2016,12.5
Ecomonic and Human Geography,South China Sea has assumed great geopolitical significance in the present context. Comment.,2016,12.5
Ecomonic and Human Geography,"Present an account of the Indus Water Treaty and examine its ecological, economic and political implications in the context of changing bilateral relations.",2016,12.5
Ecomonic and Human Geography,Enumerate the problems and prospects of inland water transport in India.,2016,12.5
Ecomonic and Human Geography,In what way micro-watershed Development projects help in water conservation in drought prone and semi-arid regions of India.,2016,12.5
Ecomonic and Human Geography,Why is India taking keen interest in resources of Arctic Region?,2018,10
Ecomonic and Human Geography,Can the strategy of regional-resource based manufacturing help in promoting employment in India? ,2019,10
Ecomonic and Human Geography,"The interlinking of rivers can provide viable solutions to the multi-dimensional inter-related problems of droughts, floods and interrupted navigation. Critically examine.",2020,15
Ecomonic and Human Geography,India has immense potential of solar energy though there are regional variations in its development. Elaborate. ,2020,15
Ecomonic and Human Geography,Examine the status of forest resources of India and its resultant impact on climate change.,2020,15
Ecomonic and Human Geography,"Despite India being one of the countries of the Gondwanaland, its mining industry contributes much less to Gross Domestic Product (GDP) in percentage. Discuss. ",2021,10
Ecomonic and Human Geography,What are the environmental implications of the reclamation of water bodies into urban land use? Explain with examples. ,2021,10
Ecomonic and Human Geography,Discuss the multi-dimensional implications of uneven distribution of mineral oil in the world.,2021,15
Ecomonic and Human Geography, Discuss the natural resource potentials of 'Deccan Trap',2022,10
Ecomonic and Human Geography, Examine the potential of wind energy in India and explain the reasons for their limited spatial spread,2022,10
Ecomonic and Human Geography,Comment on the resource potentials of the long coastline of India and highlight the status of natural hazard preparedness in these areas.,2023,15
Ecomonic and Human Geography,Identify and discuss the factors responsible for diversity of natural vegetation in India. Assess the significance of wildlife sanctuaries in rain forest regions of India.,2023,15
Ecomonic and Human Geography,Explain briefly the ecological and economic benefits of solar energy generation in India with suitable examples.,2025,10
Ecomonic and Human Geography,Give a geographical explanation of the distribution of off-shore oil reserves of the world. How are they different from the on-shore occurrences of oil reserves?,2025,15
Ecomonic and Human Geography,"Discuss the distribution and density of population in the Ganga River Basin with special reference to land, soil and water resources.",2025,15
Ecomonic and Human Geography,Analyze the role of satellite-based technologies in achieving climate-smart agriculture and food security in India.,2026,15
Ecomonic and Human Geography,“Water resources are both an asset and a source of conflict in South Asia.” Examine this statement giving examples.,2026,10
Ecomonic and Human Geography,“The centre of global trade is gradually shifting from the Atlantic region to the Indo-Pacific region.” Examine this statement.,2026,15
Ecomonic and Human Geography,Do you agree that there is a growing trend of opening new sugar mills in the Southern states of India? Discuss with justification,2013,5
Ecomonic and Human Geography,Analyze the factors for highly decentralized cotton textile industry in India,2013,5
Ecomonic and Human Geography,"Whereas the British planters had developed tea gardens all along the Shivaliks and Lesser Himalayas from Assam to Himachal Pradesh, in effect they did not succeed beyond the Darjeeling area. Explain.",2014,10
Ecomonic and Human Geography,Account for the change in the spatial pattern of the Iron and Steel industry in the world.,2014,10
Ecomonic and Human Geography,Why did the Green Revolution in India virtually by-pass the eastern region despite fertile soil and good availability of water?,2014,10
Ecomonic and Human Geography,"Petroleum refineries are not necessarily located nearer to crude oil producing areas, particularly in many of the developing countries. Explain its implications.",2017,15
Ecomonic and Human Geography,"Define blue revolution, explain the problems and strategies for pisciculture development in India.",2018,15
Ecomonic and Human Geography,"What is the significance of Industrial Corridors in India? Identify industrial corridors, explain their main characteristics.",2018,15
Ecomonic and Human Geography,Discuss the factors for localization of agro-based food processing industries of North-West India. ,2019,10
Ecomonic and Human Geography,"Account for the present location of iron and steel industries away from the source of raw material, by giving examples. ",2020,10
Ecomonic and Human Geography," Describe the distribution of rubber producing countries, indicate the major environmental issues faced by them",2022,15
Ecomonic and Human Geography,"From being net food importer in 1960, India has emerged as a net food exporter to the world. Provide reasons.",2023,15
Ecomonic and Human Geography,What are non-farm primary activities? How are these activitiesrelated to physiographic featuresin India? Discuss with suitable examples.,2025,10
Ecomonic and Human Geography,How can Artificial Intelligence (AI) and drones be effectively used along with GIS and RS techniques in locational and areal planning?,2025,15
physical geography,"The recent cyclone on the east coast of India was called ""Phailin"". How are the tropical cyclones named across the world?",2013,5
physical geography,What do you understand by the theory of continental drift? Discuss the prominent evidences in its support.,2013,5
physical geography,There is no formation of deltas by rivers of the Western Ghat. Why?,2013,5
physical geography,Major hot deserts in northern hemisphere are located between 20-30 degree north and on the western side of the continents. Why?,2013,10
physical geography,"Tropical cyclones are largely confined to South China Sea, Bay of Bengal and Gulf of Mexico. Why?",2014,10
physical geography,Explain the formation of thousands of islands in Indonesian and Philippines archipelagos.,2014,10
physical geography,Why are the world's fold mountain systems located along the margins of continents? Bring out the association between the global distribution of Fold Mountains and the earthquakes and volcanoes.,2014,10
physical geography,How does the Juno Mission of NASA help to understand the origin and evolution of the Earth?,2017,10
physical geography,Why is Indian Regional Navigational Satellite System (IRNSS) needed? How does it help in navigation?,2018,10
physical geography,Define mantle plume and explain its role in plate tectonics.,2018,10
physical geography,Discuss the geophysical characteristics of Circum-Pacific Zone. ,2020,10
physical geography,The process of desertification does not have climatic boundaries. Justify with examples. ,2020,10
physical geography,DIfferentiate the causes of landslides in the Himalayan region and Western Ghats. ,2021,10
physical geography,Mention the global occurrence of volcanic eruptions in 2021 and their impact on regional environment. ,2021,10
physical geography,Why is India considered as a subcontinent? Elaborate your answer.  ,2021,10
physical geography,"Briefly mention the alignment of major mountain ranges of the world and explain their impact on local weather conditions, with examples. ",2021,15
physical geography, Describe the characteristics and types of primary rocks,2022,10
physical geography, What are the forces that influence ocean currents? Describe their role in fishing industry of the world,2022,15
physical geography, Mention the significance of straits and isthmus in international trade,2022,15
physical geography, Troposphere is a very significant atmospheric layer that determines weather processes. How?,2022,15
physical geography,How are the fjords formed? Why do they constitute some of the most picturesque areas of the world?,2023,10
physical geography,Why is the South-West Monsoon called ‘Purvaiya’ (easterly) in Bhojpur Region? How has this directional seasonal wind system influenced the cultured ethos of the region?,2023,10
physical geography,What is sea surface temperature rise? How does it affect the formation of tropical cyclones?,2024,10
physical geography,What is the phenomenon of 'cloudbursts? Explain.,2024,10
physical geography,What is a twister? Why are the majority of twisters observed in areas around the Gulf of Mexico?,2024,15
physical geography,What are Tsunamis? How and where are they formed? What are their consequences? Explain with examples.,2025,10
physical geography,Discuss how the changes in shape and sizes of continents and ocean basins of the planet take place due to tectonic movements of the crustal masses.,2025,15
physical geography,What is the Fujiwhara effect? Explain its impact on the movement and intensity of tropical cyclones.,2026,10
physical geography,"Compare the Loo, Chinook and Foehn winds with respect to their regions of prevalence, their nature and climatic impacts.",2026,15
physical geography,Bring out the causes for the formation of heat islands in the urban habitat of the world.,2013,5
physical geography,What do you understand by the phenomenon of temperature inversion in meteorology? How does it affect the weather and the habitants of the place?,2013,5
physical geography,Bring out the causes for more frequent landslides in the Himalayas than in Western Ghats,2013,5
physical geography,Most of the unusual climatic happenings are explained as an outcome of the El-Nino effect. Do you agree?,2014,10
physical geography,Bring out the relationship between the shrinking Himalayan glaciers and the symptoms of climate change in the Indian sub-continent.,2014,10
physical geography,"The states of Jammu and Kashmir, Himachal Pradesh and Uttarakhand reaching the limits of their ecological carrying capacity due to tourism. Critically evaluate.",2015,12.5
physical geography,How far do you agree that the behavior of the Indian monsoon has been changing due to humanizing landscapes? Discuss.,2015,12.5
physical geography,"Explain the factors responsible for the origin of ocean currents. How do they influence regional climates, fishing and navigation?",2015,12.5
physical geography,Discuss the concept of air mass and explain its role in macro-climatic changes.,2016,12.5
physical geography,"""The Himalayas are highly prone to landslides."" Discuss the causes and suggest suitable measures of mitigation.",2016,12.5
physical geography,"In spite of adverse environmental impact, coal mining is still inevitable for development."" Discuss.",2017,10
physical geography,Mention the advantages of the cultivation of pulse because of which the year 2016 was declared as the International Year of Pulses by the United Nations.,2017,10
physical geography,How does the cryosphere affect global climate?,2017,10
physical geography,Account for variations in oceanic salinity and discuss its multi-dimensional effects.,2017,15
physical geography,In what way can flood be converted into a sustainable source of irrigation and all-weather inland navigation in India?,2017,15
physical geography,What characteristics can be assigned to monsoon climate that succeeds in feeding more than 50 percent of the won population residing in Monsoon Asia?,2017,15
physical geography,What are the consequences of spreading of 'Dead Zones' on marine ecosystem?,2018,10
physical geography,"""The ideal solution of depleting ground water resources in India is water harvesting system."" How can it be made effective in urban areas?",2018,15
physical geography,Assess the impact of global warming on coral life system with examples.,2019,10
physical geography,Discuss the causes of depletion of mangroves and explain their importance in maintaining coastal ecology. ,2019,10
physical geography,How do ocean currents and water masses differ in their impacts on marine life and the coastal environment? Give suitable examples? ,2019,15
physical geography,How can the mountain ecosystem be restored from the negative impact of development initiatives and tourism? ,2019,15
physical geography,What is water stress? How and why does it differ regionally in India? ,2019,15
physical geography,How will the meeting of Himalayan glaciers have a far-reaching impact on the water resources of India?,2020,10
physical geography,How do the melting of the Arctic ice and glaciers of the Antarctic differently affect the weather patterns and human activities on the Earth? Explain. ,2021,15
physical geography, Discuss the meaning of colour-coded weather warnings for cyclone prone areas given by India Meteorological Department,2022,10
physical geography,Discuss the consequence of Climate change on the food security in tropical countries.,2023,10
physical geography,Why is the world today confronted with a crisis of availability of and access to freshwater resources?,2023,10
physical geography,The groundwater potential of the gangetic valley is on a serious decline. How may it affect the food security of India?,2024,15
physical geography,How are climate change and the sea level rise affecting the very existence of many island nations? Discuss with examples.,2025,10
physical geography,“Tundra regions are ecologically fragile but economically important.” Examine this statement,2026,10
physical geography,Discuss the role of aeolian processes in desertification and land degradation.,2026,10
physical geography,Analyze the major drivers of human-induced land-use changes in India and their geographical consequences.,2026,15
society,Is diversity and pluralism in India under threat due to globalisation? Justify your answer. ,2020,15
society,Examine the uniqueness of tribal knowledge system when compared with mainstream knowledge and cultural systems. ,2021,10
society,What is Cryptocurrency? How does it affect global society? Has it been affecting Indian society also? ,2021,15
society,How does Indian society maintain continuity in traditional social values? Enumerate the changes taking place in it. ,2021,15
society,Explore and evaluate the impact of work from home on family relationship.,2022,10
society,"Given the diversities among tribal communities in India, in which specific contexts should they be considered as a single category?  ",2022,10
society," Are tolerance, assimilation and pluralism the key elements in the making of an Indian form of secularism? Justify your answer",2022,15
society,Do you think marriage as a sacrament is loosing its value in Modern India?,2023,10
society,Child cuddling is now being replaced by mobile phones. Discuss its impact on the socialization of children.,2023,10
society,Why is caste identity in India both fluid and static?,2023,15
society,"Inter caste marriages between castes which have socio-economic parity have increased, to some extent, but this is less true of interreligious marriages. Discuss.",2024,10
society,What is regional disparity? How does it differ from diversity? How Serious is the issue of regional disparity in India?,2024,15
society,Critically analyse the proposition that there is a high correlation between India's cultural diversities and socio-economic marginalities.,2024,15
society,Unity in diversity remains the defining feature of Indian society despite the challenges from communalism and regionalism. Comment.,2026,10
society,Is caste disappearing in urban India? Illustrate your answer with examples.,2026,15
society,Male membership needs to be encouraged in order to make women's organization free from gender bias. Comment.,2013,10
society,How does patriarchy impact the position of a middle class working woman in India?,2014,10
society,Discuss the various economic and socio-cultural forces that are driving increasing feminization of agriculture in India.,2014,10
society,Why do some of the most prosperous regions of India have an adverse sex ratio for women? Give your arguments.,2014,10
society,How do you explain the statistics that show that the sex ratio in Tribes in India is more favourable to women than the sex ratio among Scheduled Castes?,2015,12.5
society,'Women's movement in India has not addressed the issues of women of lower social strata. Substantiate your view.,2018,15
society,“Empowering women is the key to control population growth”. Discuss ,2019,10
society,What are the continued challenges for women in India against time and space? ,2019,15
society,Examine the role of ‘Gig Economy’ in the process of empowerment of women in India. ,2021,10
society,Explain why suicide among young women is increasing in Indian society,2023,10
society,"Distinguish between gender equality, gender equity and women's empowerment. Why is it
important to take gender concerns into account in programme design and implementation? ",2024,10
society,The life cycle of a joint family depends on economic factors rather than social values. Discuss.,2014,10
society,Critically examine whether growing population is the cause of poverty OR poverty is the main cause of population increase in India.,2015,12.5
society,Discuss the changes in the trends of labour migration within and outside India in the last four decades.,2015,12.5
society,"""An essential condition to eradicate poverty is to liberate the poor from deprivation."" Substantiate this statement with suitable examples",2016,12.5
society,"'Despite implementation of various programmes for eradication of poverty by the government in India, poverty is still existing.' Explain by giving reasons.",2018,10
society,Discuss whether formation of new states in recent times is beneficial or not for the economy of India.,2018,15
society,"Mention core strategies for the transformation of aspirational districts in India and explain the nature of convergence, collaboration and competition for its success.",2018,15
society,COVID-19 pandemic accelerated class inequalities and poverty in India. Comment. ,2020,10
society,How have digital initiatives in India contributed to the functioning of the educational system in the country? Elaborate your answer. ,2020,15
society,Discuss the main objectives of Population Education and point out the measures to achieve them in India in detail. ,2021,15
society, How is the growth of Tier 2 cities related to the rise of a new middle class with an emphasis on the culture of consumption ?,2022,10
society,Why did human development fail to keep pace with economic development in India?,2023,15
society,What is the concept of a 'demographic winter'? Is the world moving towards such a situation? Elaborate.,2024,10
society,"In dealing with socio-economic issues of development, what kind of collaboration between government, NGOs and private sector would be most productive?",2024,10
society,"Despite Comprehensive policies for equity and social justice, underprivileged sections are not yet getting the full benefits of affirmative action envisaged by the Constitution. Comment.",2024,15
society,"How does smart city in India, address the issues of urban poverty and distributive justice?",2025,10
society,Achieving sustainable growth with emphasis on environmental protection could come into conflict with poor people's needs in a country like India Comment.,2025,15
society,"Does tribal development in India centre around two axes, those of displacement and of rehabilitation? Give your opinion.",2025,15
society,How do you understand disability? Substantiate the need for inclusive policy framework in India in this regard.,2026,10
society,Critically examine the challenges of demographic transition in contemporary India,2026,15
Ecomonic and Human Geography,Discussion the various social problems which originated out of the speedy process of urbanization in India.,2013,10
Ecomonic and Human Geography,"Mumbai, Delhi and Kolkata are the three mega cities of the country but the air pollution is much more serious problem in Delhi as compared to the other two. Why is this so?",2015,12.5
Ecomonic and Human Geography,Smart cities in India cannot sustain without smart villages. Discuss this statement in the backdrop of rural urban integration.,2015,12.5
Ecomonic and Human Geography,"With a brief background of quality of urban life in India, introduce the objectives and strategy of the 'Smart City Programme'.",2016,12.5
Ecomonic and Human Geography,Major cities of India are becoming more vulnerable to flood conditions. Discuss.,2016,12.5
Ecomonic and Human Geography,"The growth of cities as I.T. hubs has opened up new avenues employment but has also created new problems. Substantiate this statement with examples. Urbanization 
",2017,15
Ecomonic and Human Geography,How is efficient and affordable urban mass transport key to the rapid economic development of India?,2019,15
Ecomonic and Human Geography,Account for the huge flooding of million cities in India including the smart ones like Hyderabad and Pune. Suggest lasting remedial measures. ,2020,15
Ecomonic and Human Geography,What are the main socio-economic implications arising out of the development of IT industries in major cities of India? ,2021,15
Ecomonic and Human Geography,Does urbanization lead to more segregation and/or marginalization of the poor in Indian metropolises?,2023,15
Ecomonic and Human Geography,Why do large cities tend to attract more migrants than smaller towns? Discuss in the light of conditions in developing countries.,2024,10
society,Critically examine the effects of globalization on the aged population in India. (2015 asked about Globalization effect on women),2013,10
society,"Discuss the positive and negative effects of globalization on women in India. (2013, Asked about Globalization effect on Elderly)",2015,12.5
society,To what extent globalization has influenced the core of cultural diversity in India? Explain.,2016,12.5
society,'Globalization is generally said to promote cultural homogenization but due to this cultural specificities appear to be strengthened in the Indian Society. Elucidate.,2018,15
society,Are we losing our local identity for the global identity? Discuss. ,2019,15
society," Elucidate the relationship between globalization and new technology in a world of scarce resources, with special reference to India",2022,15
society,"Globalization has increased urban migration by skilled, young, unmarried women from various classes. How has this trend impacted upon their personal freedom and relationship with family?",2024,15
society,Do you think that globalization results in only an aggressive consumer culture? Justify your answer.,2025,10
society,How do you account for the growing fast food industries given that there are increased health concerns in modern society? Illustrate your answer with the Indian experience.,2025,15
society,"Evaluate the impact of globalization on Indian youths with reference to social, political, economic and cultural spheres.",2026,15
society,Growing feeling of regionalism is an important factor in the generation of demand for a separate state. Discuss.,2013,10
society,How do the Indian debates on secularism differ from the debates in the West?,2014,10
society,"Mahatma Gandhi and Dr. B.R. Ambedkar, despite having divergent approaches and strategies, had a common goal of amelioration of the downtrodden. Elucidate.",2015,12.5
society,Describe any four cultural elements of diversity in India and rate their relative significance in building a national identity.,2015,12.5
society,Debate the issue of whether and how contemporary movements for assertion of Dalit identity work towards annihilation of caste.,2015,12.5
society,Has the formation of linguistic States strengthened the cause of Indian Unity?,2016,12.5
society,Why are the tribals in India referred to as the Scheduled Tribes? Indicate the major provisions enshrined in the Constitution of India for their upliftment.,2016,12.5
society,What is the basis of regionalism? Is it that unequal distribution of benefits of development on regional basis eventually promotes regionalism? Substantiate your answer.,2016,12.5
society,"What are the two major legal initiatives by the State since Independence, addressing discrimination against Scheduled Tribes (STs)?",2017,10
society,"In the context of diversity of India, can it be said that the regions form cultural units rather than the States? Give reasons with examples for your viewpoint.",2017,10
society,"The spirit tolerance and love is not only an interesting feature of Indian society from very early times, but it is also playing an important part at the present. Elaborate.",2017,15
society,Distinguish between religiousness/religiosity and communalism giving one example of how the former has got transformed into the latter in independent India.,2017,15
society,"""Caste system is assuming new identities and associational forms. Hence, caste system cannot be eradicated in India."" Comment.",2018,10
society,How the Indian concept of secularism is different from the western model of secularism? Discuss.,2018,10
society,'Communalism arises either due to power struggle or relative deprivation. Argue by giving suitable illustrations.,2018,15
society,What makes Indian society unique in sustaining its culture? Discuss. ,2019,10
society,What are the challenges to our cultural practices in the name of secularism. ,2019,10
society,Do we have cultural pockets of small India all over the nation? Elaborate with examples. ,2019,15
society,Has caste lost its relevance in understanding the multi-cultural Indian Society? Elaborate your answer with illustrations. ,2020,10
society,Do you agree that regionalism in India appears to be a consequence of rising cultural assertiveness? Argue. ,2020,10
society,Customs and traditions suppress reason leading to obscurantism. Do you agree? ,2020,15
society," Analyse the salience of 'sect' in Indian society vis-a-vis caste, region and religion",2022,15
society,Discuss the impact of post-liberal economy on ethnic identity and communalism.,2023,15
society,The ethos of civil service in India stand for the combination of professionalism with nationalistic consciousness - Elucidate.,2025,10
society,Do you think digital technology promotes social empowerment? Explain with examples.,2026,10
